Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","044","Bahamas","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","048","Bahrain","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.036","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","048","Bahrain","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","048","Bahrain","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","050","Bangladesh","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.201","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","050","Bangladesh","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","66.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","050","Bangladesh","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","111.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","112","Belarus","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.471","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","112","Belarus","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","112","Belarus","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","056","Belgium","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.125","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","056","Belgium","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","056","Belgium","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","084","Belize","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.797","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","084","Belize","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","53","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","084","Belize","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","204","Benin","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.041","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","204","Benin","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","82.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","204","Benin","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","10.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","060","Bermuda","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.395","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","060","Bermuda","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","060","Bermuda","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","064","Bhutan","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","5.339","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","064","Bhutan","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","45.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","064","Bhutan","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","068","Bolivia (Plurinational State of)","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.927","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","068","Bolivia (Plurinational State of)","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","15.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","068","Bolivia (Plurinational State of)","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","1.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","070","Bosnia and Herzegovina","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.105","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","070","Bosnia and Herzegovina","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","070","Bosnia and Herzegovina","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","072","Botswana","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.829","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","072","Botswana","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","60.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","072","Botswana","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","1.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","076","Brazil","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.35","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","076","Brazil","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","22.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","076","Brazil","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","48.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","092","British Virgin Islands","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.425","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","092","British Virgin Islands","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","092","British Virgin Islands","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","096","Brunei Darussalam","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.641","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","096","Brunei Darussalam","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","096","Brunei Darussalam","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","100","Bulgaria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.151","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","100","Bulgaria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","4.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","100","Bulgaria","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","854","Burkina Faso","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.611","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","854","Burkina Faso","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","77.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","854","Burkina Faso","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","17.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","108","Burundi","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.138","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","108","Burundi","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","95.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","108","Burundi","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","12","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","132","Cabo Verde","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.683","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","132","Cabo Verde","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","41.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","132","Cabo Verde","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","116","Cambodia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.064","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","116","Cambodia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","116","Cambodia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","120","Cameroon","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.997","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","120","Cameroon","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","60.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","120","Cameroon","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","16.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","124","Canada","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.065","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","124","Canada","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","124","Canada","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","136","Cayman Islands","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.05","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","136","Cayman Islands","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","136","Cayman Islands","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","140","Central African Republic","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.784","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","140","Central African Republic","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","94.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","140","Central African Republic","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","5.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","148","Chad","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.941","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","148","Chad","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","83.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","148","Chad","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","14.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","152","Chile","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.387","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","152","Chile","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","3.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","152","Chile","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","344","China, Hong Kong SAR","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.718","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","344","China, Hong Kong SAR","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","344","China, Hong Kong SAR","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","156","China, mainland","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.96","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","156","China, mainland","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","10.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","156","China, mainland","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","153.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","158","China, Taiwan Province of","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","158","China, Taiwan Province of","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","158","China, Taiwan Province of","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","170","Colombia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.301","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","170","Colombia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","31.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","170","Colombia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","16.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","178","Congo","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.626","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","178","Congo","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","91.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","178","Congo","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","5.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","188","Costa Rica","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.925","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","188","Costa Rica","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","14.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","188","Costa Rica","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","384","Côte d'Ivoire","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.909","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","384","Côte d'Ivoire","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","72.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","384","Côte d'Ivoire","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","20","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","191","Croatia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.29","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","191","Croatia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","1.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","191","Croatia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","531","Curaçao","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.495","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","531","Curaçao","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","531","Curaçao","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","196","Cyprus","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.955","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","196","Cyprus","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","196","Cyprus","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","203","Czechia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.985","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","203","Czechia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","203","Czechia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","180","Democratic Republic of the Congo","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.253","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","180","Democratic Republic of the Congo","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","85.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","180","Democratic Republic of the Congo","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","82","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","208","Denmark","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","208","Denmark","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","208","Denmark","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0","E","Estimated value"
